id,title,question_text,choices,question_name,question_type,points_possible,answers
9174013,Question 13,What is the importance of documentation in Software Engineering?,To provide essential information about software; To confuse users; To reduce coding time; To eliminate testing,,,,
9174014,Question 14,What is the role of UML diagrams?,To visually represent software design; To write code; To test software; To manage databases,,,,
9174015,Question 15,What is the significance of non-functional requirements?,They impact performance and usability; They are not important; They only relate to coding; They are only for testing,,,,
9174016,Question 16,What does modularity in software design promote?,Breaking down software into manageable components; Creating monolithic applications; Ignoring user feedback; Reducing testing,,,,
9174017,Question 17,What is the purpose of unit testing?,To evaluate individual components of code; To test the entire application; To ignore bugs; To speed up development,,,,
9174018,Question 18,What is the Agile Manifesto?,A set of principles for Agile development; A coding standard; A testing framework; A project management tool,,,,
9174019,Question 19,What is the focus of Software Requirements Engineering?,Defining and documenting user needs; Writing code; Testing software; Deploying applications,,,,
9174020,Question 20,What does the term 'refactoring' refer to?,Improving code structure without changing its behavior; Adding new features; Ignoring bugs; Writing new code from scratch,,,,
9174021,Question 21,What is the significance of Agile methodologies?,They enhance collaboration and responsiveness; They focus on rigid processes; They ignore user feedback; They reduce team interaction,,,,
9174022,Question 22,What is the role of a deployment pipeline?,To automate software delivery processes; To write code; To test software; To manage databases,,,,
9174023,Question 23,What is the importance of clean code practices?,To maintain code quality and ease of modification; To complicate the codebase; To ignore user needs; To reduce documentation,,,,
9174024,Question 24,What does the term 'polymorphism' refer to in OOP?,The ability to treat objects as instances of their parent class; The use of global variables; The creation of static methods; The elimination of classes,,,,
9174025,Question 25,What is the purpose of Agile Team Role Assessment?,To evaluate understanding of roles within a Scrum team; To ignore team dynamics; To focus solely on coding; To reduce collaboration,,,,
9174026,Question 26,What is the significance of Kanban in Software Engineering?,To enhance workflow efficiency; To complicate processes; To ignore user feedback; To reduce team interaction,,,,
9174027,Question 27,What is the primary focus of Software Engineering?,Systematic approach to software development; Random coding practices; Only testing software; Ignoring user requirements,,,,
9174028,Question 28,What does the Software Development Life Cycle (SDLC) encompass?,"Only coding; Requirements gathering, design, implementation, testing, maintenance; User feedback only; Deployment only",,,,
9174029,Question 29,What are Functional Requirements?,What the system should do; How the system performs; User interface design; None of the above,,,,
9174030,Question 30,What are Non-Functional Requirements?,What the system should do; How the system performs; User interface design; None of the above,,,,
9174031,Question 31,What is Agile Development?,A rigid development process; Emphasizes flexibility and collaboration; Only focuses on documentation; Ignores user feedback,,,,
9174032,Question 32,What is Defensive Programming?,Ignoring potential errors; Anticipating potential errors; Only focusing on performance; None of the above,,,,
9174033,Question 33,What is the purpose of Software Testing?,To ensure software meets requirements; To ignore defects; To only check performance; None of the above,,,,
9174034,Question 34,What does Requirements Engineering involve?,"Ignoring user needs; Defining, documenting, and maintaining requirements; Only coding; Testing software",,,,
9174035,Question 35,What is the significance of Documentation in Software Engineering?,It is not important; It provides essential information about software; It only serves as a reference for developers; None of the above,,,,
9174036,Question 36,What is the Object-Oriented Paradigm?,A method of coding without structure; Emphasizes the use of objects; Only focuses on data; None of the above,,,,
9174037,Question 37,What is the role of Version Control in Software Engineering?,To track changes in code; To ignore code changes; To only focus on testing; None of the above,,,,
9174038,Question 38,What is the importance of User Requirements?,They are not important; They help bridge the gap between technical specifications and user satisfaction; They only focus on performance; None of the above,,,,
9174039,Question 39,What is the purpose of Software Refactoring?,To improve code quality without changing its external behavior; To ignore code quality; To only focus on new features; None of the above,,,,
9174040,Question 40,What is the significance of Testing Strategies?,To outline the approach for creating test cases; To ignore bugs; To only focus on performance; None of the above,,,,
9174041,Question 41,What does the term 'Quality Assurance' refer to in Software Engineering?,Ensuring software meets specified requirements; Ignoring user feedback; Only focusing on coding; None of the above,,,,
9174042,Question 42,Software Engineering encompasses a systematic approach to software development.,True; False,,,,
9174043,Question 43,"The Software Development Life Cycle (SDLC) includes stages such as requirements gathering, design, implementation, verification, and maintenance.",True; False,,,,
9174044,Question 44,Functional Requirements specify how the system performs its functions.,True; False,,,,
9174045,Question 45,Agile Development emphasizes flexibility and collaboration among team members.,True; False,,,,
9174046,Question 46,Quality assurance is not a critical principle in software engineering.,True; False,,,,
9174047,Question 47,Defensive Programming anticipates potential errors in software.,True; False,,,,
9174048,Question 48,Software Testing is a vital process that ensures software applications meet specified requirements.,True; False,,,,
9174049,Question 49,Documentation is an unimportant element in software engineering.,True; False,,,,
9174050,Question 50,Version Control systems are essential for managing changes to source code.,True; False,,,,
9174051,Question 51,"The principles of Object-Oriented Programming include encapsulation, inheritance, and polymorphism.",True; False,,,,
9174052,Question 52,What is a key feature of Python that makes it suitable for beginners?,Complex syntax; Readability and simplicity; Limited libraries; High cost,,,,
9174053,Question 53,Which library is commonly used for data manipulation in Python?,Flask; NumPy; Pandas; Django,,,,
9174054,Question 54,What programming paradigms does Python support?,"Only procedural; Only object-oriented; Procedural, object-oriented, and functional",,,,
9174055,Question 55,Which framework is used for web development in Python?,TensorFlow; Pandas; Flask; NumPy,,,,
9174056,Question 56,What is the significance of Python's extensive libraries?,They complicate programming; They enhance functionality and efficiency; They are not widely used; They are only for data science,,,,
9174057,Question 57,Which library is used for machine learning in Python?,Flask; Scikit-learn; Django; Pandas,,,,
9174058,Question 58,What is a primary use of Python in data science?,Web development; Data manipulation and analysis; Game development; Mobile app development,,,,
9174059,Question 59,What is the role of functions in Python programming?,They are not important; They allow code reuse and organization; They slow down the program; They are only for beginners,,,,
9174060,Question 60,Which version of Python introduced significant advancements?,Python 2.7; Python 3.6; Python 3.9; Python 4.0,,,,
9174061,Question 61,What is the purpose of IDLE in Python?,To create web applications; To serve as an integrated development environment; To manage databases; To compile C code,,,,
9174062,Question 62,What is a common application of Python in automation?,Creating video games; Automating repetitive tasks; Building mobile apps; Designing graphics,,,,
9174063,Question 63,Which of the following is a key concept in Python programming?,Data types; Only loops; Only functions; No concepts,,,,
9174064,Question 64,What is the benefit of Python's community support?,Limited resources; Access to tutorials and collaboration; No support available; Only for advanced users,,,,
9174065,Question 65,What is the significance of Python's syntax?,It is complex; It is clear and concise; It is only for experts; It is not important,,,,
9174066,Question 66,Which library is used for numerical computations in Python?,Flask; NumPy; Django; Pandas,,,,
9174067,Question 67,What is a common use of Python in scientific computing?,Web design; Data analysis; Game development; Graphic design,,,,
9174068,Question 68,What is the role of type casting in Python?,To convert variables between data types; To create new libraries; To slow down the program; To manage memory,,,,
9174069,Question 69,What is the importance of Python's readability?,It complicates coding; It enhances productivity and reduces errors; It is not important; It is only for experts,,,,
9174070,Question 70,Which of the following is a feature of Python's data structures?,Only lists; Only dictionaries; Lists and dictionaries; No data structures,,,,
9174071,Question 71,What is the purpose of the Python Cheat Sheet?,To confuse beginners; To consolidate programming concepts; To limit knowledge; To promote errors,,,,
9174072,Question 72,What is a key advantage of using Python for web development?,Limited frameworks; Robust frameworks like Django and Flask; No community support; High cost,,,,
9174073,Question 73,What is the significance of Python's integration with machine learning frameworks?,It complicates development; It allows for sophisticated model development; It is not significant; It is only for data entry,,,,
9174074,Question 74,What is the role of Python in data scraping?,It is not used; It simplifies data extraction; It complicates the process; It is only for web design,,,,
9174075,Question 75,What is the benefit of using Python for rapid application development?,It slows down the process; It enhances efficiency and productivity; It is not applicable; It is only for large projects,,,,
9174076,Question 76,What is the importance of mastering string manipulation in Python?,It is not important; It enhances application responsiveness; It complicates coding; It is only for experts,,,,
9174077,Question 77,What is the significance of the Minimum Viable Product (MVP) concept in Python development?,It is irrelevant; It focuses on delivering essential features; It complicates development; It is only for large teams,,,,
9174078,Question 78,What is a common feature of Python's integrated development environment (IDLE)?,It is only for experts; It provides a user-friendly interface; It is not useful; It is only for web development,,,,
9174079,Question 79,What is a key feature of Python that enhances its usability?,Rich set of libraries; Complex syntax; Limited applications; High cost,,,,
9174080,Question 80,Which library is commonly used for data manipulation in Python?,NumPy; Flask; Django; TensorFlow,,,,
9174081,Question 81,What programming paradigms does Python support?,Procedural; Object-oriented; Functional; All of the above,,,,
9174082,Question 82,What is a primary application of Python in data science?,Web development; Data analysis; Game development; Mobile app development,,,,
9174083,Question 83,Which version of Python introduced significant advancements for developers?,Python 2.7; Python 3.6; Python 3.9; Python 4.0,,,,
9174084,Question 84,What is the role of Pandas in Python programming?,Web framework; Data manipulation library; Machine learning library; Game development tool,,,,
9174085,Question 85,Which of the following is a key concept in Python programming?,Variables; Data types; Control structures; All of the above,,,,
9174086,Question 86,What makes Python a popular choice for beginners?,Complex syntax; Readability and simplicity; High cost; Limited resources,,,,
9174087,Question 87,Which library is used for building predictive models in Python?,Flask; Django; scikit-learn; NumPy,,,,
9174088,Question 88,What is the significance of Python's extensive standard library?,Limited functionality; Rich ecosystem for various applications; High cost; Complexity,,,,
9174089,Question 89,What is a common use of Python in web development?,Data analysis; Machine learning; Creating web applications; Game development,,,,
9174090,Question 90,What is the importance of functions in Python?,They are reusable blocks of code; They complicate programming; They are not necessary; They slow down execution,,,,
9174091,Question 91,Which of the following is a feature of Python 3.9?,No new features; Enhanced developer efficiency; Increased complexity; Limited libraries,,,,
9174092,Question 92,What is a primary benefit of Python's community support?,Limited resources; Extensive documentation and tutorials; High cost; Complexity,,,,
9174093,Question 93,What is a key application of Python in automation?,Data analysis; Web development; Scripting repetitive tasks; Game development,,,,
9174094,Question 94,"Python supports multiple programming paradigms including procedural, object-oriented, and functional programming.",True; False,,,,
9174095,Question 95,Python is primarily used for web development and does not support data analysis.,True; False,,,,
9174096,Question 96,"The extensive libraries and frameworks in Python, such as Django and Pandas, enhance its functionality across various applications.",True; False,,,,
9174097,Question 97,Python's simplicity and readability make it an ideal choice for beginners and experienced developers alike.,True; False,,,,
9174098,Question 98,"Key programming concepts in Python include variables, loops, conditional logic, lists, and dictionaries.",True; False,,,,
9174099,Question 99,Python is not widely used in data science and machine learning.,True; False,,,,
9174100,Question 100,Functions in Python are reusable blocks of code that enhance code organization and reduce redundancy.,True; False,,,,
9174101,Question 101,"Python's integration capabilities with other languages, such as C/C++, limit its use in diverse environments.",True; False,,,,
9174102,Question 102,"Python's data structures, such as lists and dictionaries, are essential for efficient data management.",True; False,,,,
9174103,Question 103,The Python community emphasizes the importance of foundational courses covering essential topics like syntax and data types.,True; False,,,,
9174104,Question 104,What is the primary purpose of Requirement Engineering?,"To develop software code; To identify, document, and manage software requirements; To test software; To deploy software",,,,
9174105,Question 105,Which of the following is NOT a key concept in Requirement Engineering?,Stakeholder Identification; Requirements Elicitation; Code Implementation; Requirements Validation,,,,
9174106,Question 106,What does Requirements Elicitation involve?,Gathering requirements from stakeholders; Documenting requirements; Validating requirements; Managing changes to requirements,,,,
9174107,Question 107,Requirements Analysis focuses on which of the following?,Understanding and refining gathered requirements; Gathering requirements from stakeholders; Documenting requirements; Validating requirements,,,,
9174108,Question 108,What is the purpose of Requirements Specification?,To gather requirements; To document requirements clearly; To validate requirements; To manage changes,,,,
9174109,Question 109,Requirements Validation ensures that requirements are:,Feasible for implementation; Documented clearly; Gathered from stakeholders; Prioritized correctly,,,,
9174110,Question 110,What does Requirements Management involve?,Tracking changes and maintaining integrity of requirements; Gathering requirements; Validating requirements; Documenting requirements,,,,
9174111,Question 111,Functional Requirements specify:,How the system performs its functions; What the system should do; Quality attributes of the system; Stakeholder needs,,,,
9174112,Question 112,Non-Functional Requirements address which of the following?,What the system should do; How the system performs its functions; Stakeholder identification; Requirements validation,,,,
9174113,Question 113,Which process involves evaluating and prioritizing gathered requirements?,Requirements Elicitation; Requirements Analysis; Requirements Specification; Requirements Management,,,,
9174114,Question 114,What is the first step in the Requirement Engineering process?,Requirements Specification; Requirements Elicitation; Requirements Validation; Requirements Management,,,,
9174115,Question 115,Which of the following is a key benefit of Requirement Engineering?,Increased software bugs; Enhanced project efficiency; Reduced stakeholder involvement; Decreased user satisfaction,,,,
9174116,Question 116,What is the role of stakeholder identification in Requirement Engineering?,To gather requirements; To document requirements; To recognize all parties involved; To validate requirements,,,,
9174117,Question 117,Requirements Validation is critical for ensuring that requirements are:,Clear and concise; Feasible and meet stakeholder needs; Documented properly; Prioritized correctly,,,,
9174118,Question 118,What does the process of Requirements Specification aim to achieve?,Gathering requirements; Documenting requirements clearly; Validating requirements; Managing changes,,,,
9174119,Question 119,Which of the following processes helps maintain the integrity of requirements throughout the project lifecycle?,Requirements Elicitation; Requirements Analysis; Requirements Management; Requirements Specification,,,,
9174120,Question 120,What is the significance of Requirements Analysis in Requirement Engineering?,It helps in gathering requirements; It focuses on understanding and refining requirements; It documents requirements; It validates requirements,,,,
9174121,Question 121,Which of the following best describes Non-Functional Requirements?,They specify what the system should do; They define how the system performs its functions; They are not important; They are only about performance,,,,
9174122,Question 122,What is the final goal of Requirement Engineering?,To deliver software that meets user expectations; To gather as many requirements as possible; To document requirements; To validate requirements,,,,
9174123,Question 123,Which of the following is a method used in Requirements Elicitation?,Interviews; Coding; Testing; Deployment,,,,
9174124,Question 124,What is the relationship between Requirement Engineering and software development phases?,It is unrelated; It lays the groundwork for subsequent phases; It only affects the testing phase; It is only important during implementation,,,,
9174125,Question 125,What is the importance of documenting requirements?,To ensure clarity and facilitate communication; To confuse stakeholders; To delay the project; To avoid validation,,,,
9174126,Question 126,Which of the following is a key outcome of effective Requirement Engineering?,Increased project costs; Decreased user satisfaction; Successful software delivery; More bugs in the software,,,,
9174127,Question 127,What does Requirements Management help track?,Changes to requirements; Stakeholder needs; Software bugs; Project timelines,,,,
9174128,Question 128,What is the primary focus of Object-Oriented Programming (OOP)?,Functions; Data; Logic; Procedures,,,,
9174129,Question 129,Which of the following is NOT a key concept of OOP?,Encapsulation; Inheritance; Polymorphism; Compilation,,,,
9174130,Question 130,Encapsulation helps to protect data integrity by restricting access to certain components of an object.,True; False,,,,
9174131,Question 131,Inheritance allows a new class to inherit properties and methods from an existing class.,True; False,,,,
9174132,Question 132,Which of the following programming languages is NOT typically associated with OOP?,Java; C++; Python; Assembly,,,,
9174133,Question 133,Polymorphism allows methods to perform different actions based on the object it is acting upon.,True; False,,,,
9174134,Question 134,Which of the following best describes abstraction in OOP?,Hiding unnecessary details; Combining data and methods; Creating new classes; Overriding methods,,,,
9174135,Question 135,What does encapsulation bundle together?,Data and methods; Classes and objects; Functions and variables; Modules and packages,,,,
9174136,Question 136,Which principle of OOP promotes code reuse?,Encapsulation; Inheritance; Polymorphism; Abstraction,,,,
9174137,Question 137,Abstraction simplifies complex systems by exposing only the necessary parts of an object.,True; False,,,,
9174138,Question 138,Which of the following concepts allows for method overriding?,Encapsulation; Inheritance; Abstraction; Data hiding,,,,
9174139,Question 139,Which of the following statements about OOP is true?,It is only used in Java.; It is a programming paradigm.; It does not support code reuse.; It is outdated.,,,,
9174140,Question 140,Which of the following is an example of polymorphism?,A class inheriting from another class; A method that can take different forms; Bundling data and methods; Hiding implementation details,,,,
9174141,Question 141,Encapsulation may prevent unintended interference with data.,True; False,,,,
9174142,Question 142,Inheritance establishes a hierarchical relationship between classes.,True; False,,,,
9174143,Question 143,Which of the following is a benefit of using OOP?,Increased complexity; Easier maintenance; Less modularity; More global variables,,,,
9174144,Question 144,Which principle of OOP focuses on exposing only necessary parts of an object?,Encapsulation; Inheritance; Polymorphism; Abstraction,,,,
9174145,Question 145,Which of the following statements about encapsulation is true?,It allows unrestricted access to data.; It combines data and methods into a single unit.; It is not important in OOP.; It only applies to methods.,,,,
9174146,Question 146,Which of the following concepts allows for creating new classes with minimal code duplication?,Encapsulation; Inheritance; Polymorphism; Abstraction,,,,
9174147,Question 147,OOP promotes a structured approach to software development.,True; False,,,,
9174148,Question 148,Which of the following is an example of encapsulation?,A class that inherits from another class; A method that can take different forms; A class that contains both data and methods; A function that hides its implementation,,,,
9174149,Question 149,Which of the following best describes the relationship between OOP principles?,They are independent of each other.; They collectively enhance software flexibility.; They are only applicable in certain languages.; They complicate software design.,,,,
9174150,Question 150,Which of the following is NOT a benefit of OOP?,Modularity; Reusability; Flexibility; Increased complexity,,,,
9174151,Question 151,Which principle of OOP allows for dynamic method resolution?,Encapsulation; Inheritance; Polymorphism; Abstraction,,,,
9174152,Question 152,Which of the following statements about inheritance is true?,It allows a class to inherit properties from multiple classes.; It promotes code duplication.; It establishes a hierarchical relationship.; It is not used in OOP.,,,,
9174153,Question 153,Which of the following is a characteristic of OOP?,Focus on functions; Use of global variables; Modular design; Sequential processing,,,,
9174154,Question 154,Which of the following concepts is essential for creating maintainable code?,Encapsulation; Global variables; Procedural programming; Static typing,,,,
9174155,Question 155,Which of the following is an example of abstraction?,A class that hides its implementation details; A method that can take different forms; A class that inherits from another class; A function that combines data and methods,,,,
9174156,Question 156,Which of the following statements about OOP is false?,It is a programming paradigm.; It is only used in web development.; It allows for code reuse.; It promotes modularity.,,,,
9174157,Question 157,Which of the following is a key benefit of using polymorphism?,Increased complexity; Code adaptability; Less modularity; More global variables,,,,
9174158,Question 158,Which of the following best describes the role of encapsulation in OOP?,It allows unrestricted access to data.; It combines data and methods into a single unit.; It is not important in OOP.; It only applies to methods.,,,,
9174159,Question 159,Which of the following principles of OOP allows for method overriding?,Encapsulation; Inheritance; Polymorphism; Abstraction,,,,
9174160,Question 160,Which of the following is a characteristic of inheritance?,It allows for code duplication.; It establishes a hierarchical relationship.; It is not used in OOP.; It complicates software design.,,,,
9174161,Question 161,Which of the following statements about abstraction is true?,It hides unnecessary details.; It allows unrestricted access to data.; It is not important in OOP.; It only applies to methods.,,,,
9174162,Question 162,Which of the following is a benefit of using OOP?,Increased complexity; Easier maintenance; Less modularity; More global variables,,,,
9174163,Question 163,Which of the following best describes polymorphism?,A method that can take different forms; A class that inherits from another class; Bundling data and methods; Hiding implementation details,,,,
9174164,Question 164,Which of the following is NOT a characteristic of OOP?,Encapsulation; Inheritance; Polymorphism; Sequential processing,,,,
9174165,Question 165,Which of the following principles of OOP focuses on exposing only necessary parts of an object?,Encapsulation; Inheritance; Polymorphism; Abstraction,,,,
9174166,Question 166,Which of the following statements about OOP is true?,It is only used in Java.; It is a programming paradigm.; It does not support code reuse.; It is outdated.,,,,
9174167,Question 167,Which of the following is an example of encapsulation?,A class that inherits from another class; A method that can take different forms; A class that contains both data and methods; A function that hides its implementation,,,,
9174168,Question 168,Which of the following best describes the relationship between OOP principles?,They are independent of each other.; They collectively enhance software flexibility.; They are only applicable in certain languages.; They complicate software design.,,,,
9174169,Question 169,What does the Object-Oriented Paradigm emphasize?,Use of functions; Encapsulation of data and behavior; Sequential programming; Procedural programming,,,,
9174170,Question 170,The Software Development Lifecycle (SDLC) includes which of the following phases?,Design; Development; Testing; All of the above,,,,
9174171,Question 171,UML Diagrams are used for what purpose?,To write code; To illustrate system structure and behavior; To manage databases; To create user interfaces,,,,
9174172,Question 172,Modularity in software design promotes what?,Single large components; Dividing systems into smaller components; Complexity; Tight coupling,,,,
9174173,Question 173,Abstraction in software design helps to:,Hide complex implementation details; Increase complexity; Reduce code readability; None of the above,,,,
9174174,Question 174,Encapsulation restricts access to components of an object. True or False?,True; False,,,,
9174175,Question 175,Separation of Concerns enhances what aspect of software design?,Modularity; Coupling; Complexity; Performance,,,,
9174176,Question 176,Clean Code Principles focus on:,Writing complex code; Writing maintainable and readable code; Using as many functions as possible; None of the above,,,,
9174177,Question 177,The SOLID Principles are aimed at improving what?,Software design and maintainability; User experience; Database management; Network security,,,,
9174178,Question 178,Which of the following is a programming principle?,KISS; DRY; YAGNI; All of the above,,,,
9174179,Question 179,Composition Over Inheritance suggests what?,Using inheritance for all classes; Combining simpler components; Avoiding modularity; None of the above,,,,
9174180,Question 180,User-Centered Design focuses on:,Technical specifications; User needs and experiences; Code efficiency; System architecture,,,,
9174181,Question 181,Incorporating testing strategies early in the design process helps to:,Increase costs; Identify potential issues; Delay project timelines; None of the above,,,,
9174182,Question 182,What is the main goal of the Object-Oriented Paradigm?,To create complex systems; To promote code reusability and maintainability; To eliminate all bugs; To reduce development time,,,,
9174183,Question 183,The SDLC framework helps to mitigate what?,Costs; Risks; Time; All of the above,,,,
9174184,Question 184,Which principle emphasizes that a class should have only one reason to change?,Single Responsibility Principle; Open/Closed Principle; Liskov Substitution Principle; Interface Segregation Principle,,,,
9174185,Question 185,True or False: Modularity allows for easier testing and debugging.,True; False,,,,
9174186,Question 186,Which of the following is NOT a core principle of software design?,Abstraction; Encapsulation; Inheritance; Overloading,,,,
9174187,Question 187,Which of the following principles helps manage complexity by hiding unnecessary details?,Abstraction; Encapsulation; Separation of Concerns; Modularity,,,,
9174188,Question 188,What does the acronym KISS stand for?,"Keep It Simple, Stupid; Keep It Short and Simple; Keep It Secure and Simple; None of the above",,,,
9174189,Question 189,Which principle advocates for dividing a program into distinct sections?,Modularity; Separation of Concerns; Encapsulation; Abstraction,,,,
9174190,Question 190,True or False: Clean Code Principles aim to increase technical debt.,True; False,,,,
9174191,Question 191,Which of the following is a benefit of User-Centered Design?,Increased complexity; Improved user satisfaction; Higher costs; None of the above,,,,
9174192,Question 192,Which principle emphasizes that you aren't going to need it?,KISS; DRY; YAGNI; SOLID,,,,
9174193,Question 193,Which of the following is a key aspect of the Software Development Lifecycle?,Deployment; Testing; Design; All of the above,,,,
9174194,Question 194,True or False: UML Diagrams are used to write code.,True; False,,,,
9174195,Question 195,Which principle helps to reduce the cost of fixing defects later in the development cycle?,Testing and Validation; Modularity; Abstraction; Encapsulation,,,,
9174196,Question 196,Which of the following is a characteristic of Clean Code?,Complexity; Readability; Obscurity; None of the above,,,,
9174197,Question 197,Which principle is focused on protecting data integrity?,Encapsulation; Abstraction; Modularity; Separation of Concerns,,,,
9174198,Question 198,True or False: Composition Over Inheritance suggests using class inheritance for complex behaviors.,True; False,,,,
9174199,Question 199,Which of the following principles is NOT part of the SOLID principles?,Single Responsibility Principle; Open/Closed Principle; Liskov Substitution Principle; Modular Responsibility Principle,,,,
9174200,Question 200,Which principle emphasizes simplicity in design?,KISS; DRY; YAGNI; All of the above,,,,
9174201,Question 201,Which of the following is a benefit of modularity?,Increased complexity; Easier testing; Reduced maintainability; None of the above,,,,
9174202,Question 202,True or False: User-Centered Design ignores user needs.,True; False,,,,
9174203,Question 203,Which principle helps to manage complexity in software design?,Abstraction; Encapsulation; Separation of Concerns; All of the above,,,,
9174204,Question 204,Which of the following is a key aspect of the Software Development Lifecycle?,Planning; Execution; Closure; All of the above,,,,
9174205,Question 205,Which principle focuses on writing code that is easy to read and maintain?,Clean Code Principles; SOLID Principles; Modularity; Abstraction,,,,
9174206,Question 206,True or False: Encapsulation allows unrestricted access to object components.,True; False,,,,
9174207,Question 207,Which principle emphasizes that a class should have only one reason to change?,Single Responsibility Principle; Open/Closed Principle; Liskov Substitution Principle; Interface Segregation Principle,,,,
9174208,Question 208,Which of the following is a benefit of using UML Diagrams?,Improved communication; Increased complexity; Reduced clarity; None of the above,,,,
9174209,Question 209,Which principle helps to reduce technical debt?,Clean Code Principles; SOLID Principles; Both A and B; None of the above,,,,
9174210,Question 210,True or False: Testing and Validation should be incorporated late in the design process.,True; False,,,,
9174211,Question 211,Which of the following principles is focused on user needs?,User-Centered Design; SOLID Principles; Clean Code Principles; None of the above,,,,
9174212,Question 212,What is the primary purpose of version control systems?,To store files permanently; To record changes to files over time; To delete old versions of files; To create backups of files,,,,
9174213,Question 213,Which of the following is NOT a key concept of version control?,Repositories; Commits; Branches; Files,,,,
9174214,Question 214,True or False: A commit represents a snapshot of changes made to files.,True; False,,,,
9174215,Question 215,What is the function of a repository in version control?,To track changes; To store project files and their history; To manage user permissions; To create backups,,,,
9174216,Question 216,Which command is used to upload local changes to a remote repository?,Pull; Push; Commit; Merge,,,,
9174217,Question 217,True or False: Branches allow multiple developers to work on different aspects of a project simultaneously.,True; False,,,,
9174218,Question 218,Which of the following best describes a merge in version control?,Creating a new branch; Integrating changes from different branches; Deleting a branch; Reverting to a previous version,,,,
9174219,Question 219,What is the purpose of the staging area in version control?,To permanently store files; To organize changes before committing; To delete unwanted changes; To create backups,,,,
9174220,Question 220,Which of the following applications does version control NOT typically support?,Software Development; Document Management; Web Browsing; Collaborative Writing,,,,
9174221,Question 221,True or False: Version control is only used in software development.,True; False,,,,
9174222,Question 222,Which of the following is a benefit of using version control in collaborative writing?,It allows for real-time editing; It tracks changes and maintains a history; It prevents file sharing; It automatically formats documents,,,,
9174223,Question 223,What does a commit represent in the context of version control?,A point in the project's history; A new branch; A deleted file; A backup of the repository,,,,
9174224,Question 224,Which of the following is a key feature of version control systems?,Automatic file deletion; Change tracking; Real-time collaboration; File encryption,,,,
9174225,Question 225,"True or False: In web development, version control systems help manage changes to websites and applications.",True; False,,,,
9174226,Question 226,Which of the following statements about branches is true?,Branches are used to delete files; Branches allow for parallel development; Branches are only for single-user projects; Branches cannot be merged,,,,
9174227,Question 227,What is the role of version control in content creation?,To create new content; To track changes over time; To publish content; To format documents,,,,
