id,title,question_text,choices
9174023,Question 23,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">What is the importance of clean code practices?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",To maintain code quality and ease of modification; To complicate the codebase; To ignore user needs; To reduce documentation
9174024,Question 24,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">What does the term 'polymorphism' refer to in OOP?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",The ability to treat objects as instances of their parent class; The use of global variables; The creation of static methods; The elimination of classes
9174025,Question 25,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">What is the purpose of Agile Team Role Assessment?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",To evaluate understanding of roles within a Scrum team; To ignore team dynamics; To focus solely on coding; To reduce collaboration
9174026,Question 26,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">What is the significance of Kanban in Software Engineering?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",To enhance workflow efficiency; To complicate processes; To ignore user feedback; To reduce team interaction
9174027,Question 27,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">What is the primary focus of Software Engineering?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",Systematic approach to software development; Random coding practices; Only testing software; Ignoring user requirements
9174028,Question 28,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">What does the Software Development Life Cycle (SDLC) encompass?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>","Only coding; Requirements gathering, design, implementation, testing, maintenance; User feedback only; Deployment only"
9174029,Question 29,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">What are Functional Requirements?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",What the system should do; How the system performs; User interface design; None of the above
9174030,Question 30,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">What are Non-Functional Requirements?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",What the system should do; How the system performs; User interface design; None of the above
9174031,Question 31,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">What is Agile Development?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",A rigid development process; Emphasizes flexibility and collaboration; Only focuses on documentation; Ignores user feedback
9174032,Question 32,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">What is Defensive Programming?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",Ignoring potential errors; Anticipating potential errors; Only focusing on performance; None of the above
9174033,Question 33,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">What is the purpose of Software Testing?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",To ensure software meets requirements; To ignore defects; To only check performance; None of the above
9174034,Question 34,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">What does Requirements Engineering involve?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>","Ignoring user needs; Defining, documenting, and maintaining requirements; Only coding; Testing software"
9174035,Question 35,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">What is the significance of Documentation in Software Engineering?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",It is not important; It provides essential information about software; It only serves as a reference for developers; None of the above
9174036,Question 36,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">What is the Object-Oriented Paradigm?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",A method of coding without structure; Emphasizes the use of objects; Only focuses on data; None of the above
9174037,Question 37,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">What is the role of Version Control in Software Engineering?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",To track changes in code; To ignore code changes; To only focus on testing; None of the above
9174038,Question 38,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">What is the importance of User Requirements?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",They are not important; They help bridge the gap between technical specifications and user satisfaction; They only focus on performance; None of the above
9174039,Question 39,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">What is the purpose of Software Refactoring?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",To improve code quality without changing its external behavior; To ignore code quality; To only focus on new features; None of the above
9174040,Question 40,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">What is the significance of Testing Strategies?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",To outline the approach for creating test cases; To ignore bugs; To only focus on performance; None of the above
9174041,Question 41,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">What does the term 'Quality Assurance' refer to in Software Engineering?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",Ensuring software meets specified requirements; Ignoring user feedback; Only focusing on coding; None of the above
9174042,Question 42,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">Software Engineering encompasses a systematic approach to software development.<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",True; False
9174043,Question 43,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">The Software Development Life Cycle (SDLC) includes stages such as requirements gathering, design, implementation, verification, and maintenance.<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",True; False
9174044,Question 44,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">Functional Requirements specify how the system performs its functions.<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",True; False
9174045,Question 45,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">Agile Development emphasizes flexibility and collaboration among team members.<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",True; False
9174046,Question 46,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">Quality assurance is not a critical principle in software engineering.<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",True; False
9174047,Question 47,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">Defensive Programming anticipates potential errors in software.<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",True; False
9174048,Question 48,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">Software Testing is a vital process that ensures software applications meet specified requirements.<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",True; False
9174049,Question 49,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">Documentation is an unimportant element in software engineering.<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",True; False
9174050,Question 50,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">Version Control systems are essential for managing changes to source code.<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",True; False
9174051,Question 51,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">The principles of Object-Oriented Programming include encapsulation, inheritance, and polymorphism.<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",True; False
9174052,Question 52,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">What is a key feature of Python that makes it suitable for beginners?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",Complex syntax; Readability and simplicity; Limited libraries; High cost
9174053,Question 53,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">Which library is commonly used for data manipulation in Python?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",Flask; NumPy; Pandas; Django
9174054,Question 54,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">What programming paradigms does Python support?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>","Only procedural; Only object-oriented; Procedural, object-oriented, and functional"
9174055,Question 55,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">Which framework is used for web development in Python?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",TensorFlow; Pandas; Flask; NumPy
9174056,Question 56,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">What is the significance of Python's extensive libraries?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",They complicate programming; They enhance functionality and efficiency; They are not widely used; They are only for data science
9174057,Question 57,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">Which library is used for machine learning in Python?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",Flask; Scikit-learn; Django; Pandas
9174058,Question 58,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">What is a primary use of Python in data science?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",Web development; Data manipulation and analysis; Game development; Mobile app development
9174059,Question 59,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">What is the role of functions in Python programming?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",They are not important; They allow code reuse and organization; They slow down the program; They are only for beginners
9174060,Question 60,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">Which version of Python introduced significant advancements?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",Python 2.7; Python 3.6; Python 3.9; Python 4.0
9174061,Question 61,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">What is the purpose of IDLE in Python?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",To create web applications; To serve as an integrated development environment; To manage databases; To compile C code
9174062,Question 62,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">What is a common application of Python in automation?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",Creating video games; Automating repetitive tasks; Building mobile apps; Designing graphics
9174063,Question 63,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">Which of the following is a key concept in Python programming?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",Data types; Only loops; Only functions; No concepts
9174064,Question 64,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">What is the benefit of Python's community support?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",Limited resources; Access to tutorials and collaboration; No support available; Only for advanced users
9174065,Question 65,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">What is the significance of Python's syntax?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",It is complex; It is clear and concise; It is only for experts; It is not important
9174066,Question 66,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">Which library is used for numerical computations in Python?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",Flask; NumPy; Django; Pandas
9174067,Question 67,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">What is a common use of Python in scientific computing?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",Web design; Data analysis; Game development; Graphic design
9174068,Question 68,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">What is the role of type casting in Python?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",To convert variables between data types; To create new libraries; To slow down the program; To manage memory
9174069,Question 69,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">What is the importance of Python's readability?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",It complicates coding; It enhances productivity and reduces errors; It is not important; It is only for experts
9174070,Question 70,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">Which of the following is a feature of Python's data structures?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",Only lists; Only dictionaries; Lists and dictionaries; No data structures
9174071,Question 71,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">What is the purpose of the Python Cheat Sheet?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",To confuse beginners; To consolidate programming concepts; To limit knowledge; To promote errors
9174072,Question 72,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">What is a key advantage of using Python for web development?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",Limited frameworks; Robust frameworks like Django and Flask; No community support; High cost
9174073,Question 73,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">What is the significance of Python's integration with machine learning frameworks?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",It complicates development; It allows for sophisticated model development; It is not significant; It is only for data entry
9174074,Question 74,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">What is the role of Python in data scraping?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",It is not used; It simplifies data extraction; It complicates the process; It is only for web design
9174075,Question 75,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">What is the benefit of using Python for rapid application development?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",It slows down the process; It enhances efficiency and productivity; It is not applicable; It is only for large projects
9174076,Question 76,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">What is the importance of mastering string manipulation in Python?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",It is not important; It enhances application responsiveness; It complicates coding; It is only for experts
9174077,Question 77,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">What is the significance of the Minimum Viable Product (MVP) concept in Python development?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",It is irrelevant; It focuses on delivering essential features; It complicates development; It is only for large teams
9174078,Question 78,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">What is a common feature of Python's integrated development environment (IDLE)?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",It is only for experts; It provides a user-friendly interface; It is not useful; It is only for web development
9174079,Question 79,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">What is a key feature of Python that enhances its usability?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",Rich set of libraries; Complex syntax; Limited applications; High cost
9174080,Question 80,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">Which library is commonly used for data manipulation in Python?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",NumPy; Flask; Django; TensorFlow
9174081,Question 81,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">What programming paradigms does Python support?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",Procedural; Object-oriented; Functional; All of the above
9174082,Question 82,"<link rel=""stylesheet"" href=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286017/dp_app.css"">What is a primary application of Python in data science?<script src=""https://instructure-uploads.s3.amazonaws.com/account_73010000000000001/attachments/24286016/dp_app.js""></script>",Web development; Data analysis; Game development; Mobile app development
